Building Name,Building Type,Latitude,Longitude,Connected Nodes
DeLuca Biochemical Sciences Building,B;,43.0742918,-89.41094937,299404796-5;440424675-1;440424681-1;440424681-2;440424672-1;440424672-2;440424674-1;440424674-2;670945439-1;670945439-2;670945439-3;403183157-3;403183155-1;403183155-2;403183155-3;403183155-4;403183155-5;403183159-1;403183159-2;432707860-1;432707860-2;432707865-1;432707865-2;265146771-1;174361011-5;174361011-6;174361011-7;174361011-8;174361011-9;6719877-5;6719877-6;6719879-1;265146773-1;265146773-2;265146772-1;265146772-2;38856042-8
Wisconsin Institute for Discovery,B;,43.07282035,-89.40815254,295320021-2;295320021-3;295320021-4;119877042-11;119877042-12;458185177-3;199261161-1;295320020-2;295320020-3;295320020-4
Service Building Annex,B;,43.07288675,-89.40709102,305490228-2;412853314-2;305490229-1;305490229-2;305490229-3;305490229-4;295320020-28;295320020-29;119877041-3;119877041-4;313320357-3;313320357-4;313320357-5;175329720-1;385381146-1;385381146-2;385381146-3;305435202-1;305435202-2;128992394-16;128992394-17;295590024-5;295590024-6;295590024-7;295590022-2
Genetics-Biotechnology Center Building,B;,43.07378797,-89.40943568,University & N Randall (WB);295320011-1;295320011-2;295320011-3;39015627-5;39015627-6;39015628-1;39015628-2;305490079-2;305490079-3;305490078-1;305490078-2;295320018-2;39015625-23;39015625-24
Taylor Hall,B;,43.07422172,-89.40942752,39015627-1;39015627-2;39015627-3;39015627-4;39015627-5;39015627-6;305490075-1;305490075-2;305490075-3;305490075-4;305490075-5;305490075-6;305490075-7;305490075-8;305490075-9;305490075-10;39015617-1;39015617-2;39015628-1;39015628-2;305490079-1;305490079-2;305490079-3;305490076-1;305490076-2;305490078-1;305490078-2;265146775-1;265146775-2;265146774-1;265146774-2;265146774-3;265146774-4;265146774-5;265146774-6;265146774-7;305490080-1;305490080-2;295173806-1;295173806-2;295320018-1;295320018-2;39015626-2;6784613-1;6784613-2
McArdle Building,B;,43.07444663,-89.40894351,305490079-1;305490079-2;305490076-2;305490078-1;305490078-2;265146775-1;265146775-2;265146775-3;265146774-2;265146774-3;265146774-4;265146774-5;265146774-6;265146774-7;305490080-1;305490080-2;295173806-1;295320018-1;295320029-1;295320029-2;295320029-3;39015633-1
University Avenue Ramp (Lot 20),B;K;,43.07403345,-89.40896443,39015631-3;313308032-1;310591697-1;310591697-2;310591697-3;310591697-4;310591699-1;310591699-2;310591699-3;310591699-4;313308033-3;39015628-2;305490079-1;305490079-2;305490079-3;305490078-1;305490078-2;265146775-1;265146775-2;265146775-3;265146774-6;265146774-7;305490080-2;295320018-1;295320018-2
School of Social Work Building,B;E;,43.07422765,-89.40822756,313308032-1;310591697-1;310591697-2;310591699-2;310591699-3;310591699-4;313308033-1;313308033-2;313308033-3;265146775-3;295320018-3;295320029-2;295320029-3;295320029-4;295320029-5;295320004-1;295320004-2;39015633-1;39015633-2;39015633-3;295598099-1;295598099-2;295598099-3;295598099-4;295598099-5;295598099-6;295598099-7;295598099-8;899668442-3
Bradley Memorial Building,B;,43.07456779,-89.40757287,39015633-3;295598099-3;295598099-4;295598099-5;295598099-6;295598099-7;295598099-8;295598099-9;295598115-1;295598115-2;295598115-3;295598115-4;899668442-1;899668442-2;899668442-3;899668443-1;899668443-2;295598117-1;295598117-2;295598117-3;295598117-4;295598106-1;39015634-2;39015635-3
Medical Sciences Center,B;,43.07398362,-89.40740012,275761275-1;39015638-4;39015638-5;39015638-6;39015638-7;39015638-8;275761274-2;295598099-7;295598099-8;295598099-9;295598099-10
Service Memorial Institute,B;,43.07438995,-89.40693685,295598117-2;295598117-3;39015634-2
Horticulture,B;,43.07479645,-89.41203118,403183158-1;174311672-20;174311672-21;305439323-1;305439323-2;305439324-1;305439324-2;305439324-3;305439324-4;305439324-5;305439324-6;305439324-7;305439324-8;305439324-9;6668763-3
Moore Hall,B;,43.07478988,-89.41164362,174311672-21;174311672-22;174311672-23;403183157-2;403183157-3;412585897-1;305439323-1;305439323-2;305439324-3;305439324-4;305439324-5;305439324-6;305439324-7;305439324-8;305439324-9;265146778-1;265146778-2;38856042-1;38856042-2;38856042-3;38856042-4;38856042-5;38856042-6;38856042-7;265146777-1;6668763-4;6668763-5
